IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,Offense Description,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource,Column19
01/10/2010,2:32:00,1/10/2010,3:35:00,Liquor – Possession Of,Prosecution Declined,ONCAM,Z2,North Avenue Apartments Parking Deck,"North Avenue, NW",NULL,NULL,1,
01/10/2010,4:15:00,1/10/2010,4:15:00,Miscellaneous Offenses,NULL,ONCAMRES,Z3,Pi Kappa Alpha Fraternity   320   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/11/2010,0:52:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,Bobby Dodd Stadium   17   Z2,"North Avenue, NW",NULL,NULL,1,
01/11/2010,3:35:00,1/11/2010,4:12:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,NULL,"Northside Drive, NW @ Tenth Street, NW",NULL,NULL,1,
01/11/2010,4:00:00,1/11/2010,11:15:00,Miscellaneous Offenses,NULL,ONCAM,Z3,Student Center   104   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/11/2010,13:10:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z1,Beringause Building   46   Z1,"Hemphill Avenue, NW",NULL,NULL,1,
01/11/2010,13:41:00,1/11/2010,14:26:00,Miscellaneous Offenses,NULL,ONCAM,Z2,Swann Building   39   Z2,"Cherry Street, NW",NULL,NULL,1,
01/07/2010,11:07:00,1/11/2010,16:00:00,Fraud – Illegal Use of Credit/Financial Transaction Cards,Unfounded,ONCAM,Z2,Barnes and Noble Bookstore 172 Z2,"Fifth Street, NW",NULL,NULL,1,
01/11/2010,15:37:00,NULL,NULL,Miscellaneous Offenses,Victim/Witness Refused to Cooperate,ONCAM,Z3,Love Manufacturing Building   144   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/11/2010,18:03:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Smith Residence Hall   6   Z2,"Williams Street, NW",NULL,NULL,1,
01/11/2010,18:50:00,1/11/2010,20:08:00,Criminal Trespass,NULL,ONCAM,Z3,Clydeck  Z3,"Ferst Drive, NW",NULL,NULL,1,
01/11/2010,21:30:00,NULL,NULL,Miscellaneous Offenses,Unfounded,ONCAMRES,Z2,Howell Residence Hall   10   Z2,"Williams Street, NW",NULL,NULL,1,
01/11/2010,22:05:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Eighth Street Apartments   130   Z4,"Eighth Street, NW",NULL,NULL,1,
01/12/2010,0:51:00,1/12/2010,1:11:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Perry/Matheson Residence Hall   92   Z2,"Techwood Drive, NW",NULL,NULL,1,
01/12/2010,5:45:00,1/12/2010,6:50:00,Larceny – Articles from Vehicle,NULL,PUB,Z2,"Brittain Drive, NW b/w Fourth Street, NW & Bobby Dodd Way, NW",NULL,NULL,NULL,1,
01/12/2010,7:15:00,1/12/2010,8:10:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Curran Street Parking Deck   139   Z4,"Curran Street, NW",NULL,NULL,1,
01/11/2010,12:00:00,1/11/2010,13:00:00,Larceny – From Building,Unfounded,ONCAM,Z1,Ford Motor Company Env. Science & Tech. 147  Z1,"Ferst Drive, NW",NULL,NULL,1,
01/12/2010,4:00:00,1/12/2010,11:44:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Student Health Center   82   Z4,"Ferst Drive, NW",NULL,NULL,1,
01/12/2010,17:00:00,1/12/2010,19:00:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center   122   Z4,"Ferst Drive, NW",NULL,NULL,1,
01/12/2010,7:00:00,1/12/2010,8:30:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center   122   Z4,"Ferst Drive, NW",NULL,NULL,1,
01/12/2010,20:29:00,NULL,NULL,Miscellaneous Offenses,NULL,PUB,Z2,NULL,NULL,NULL,NULL,1,
01/13/2010,0:52:00,1/13/2010,1:24:00,Marijuana – Possession of,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments,"North Avenue, NW",NULL,NULL,1,
01/13/2010,16:46:00,1/13/2010,16:46:00,Shoplifting,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore,"Fifth Street, NW",NULL,NULL,1,
01/13/2010,21:30:00,1/13/2010,21:40:00,Miscellaneous Offenses,NULL,PUB,OFFCAM,NULL,"Atlantic Drive, NW @ Fourteenth Street, NW",NULL,NULL,1,
01/14/2010,9:10:00,1/14/2010,9:25:00,Miscellaneous Offenses,NULL,PUB,Z3,NULL,NULL,NULL,NULL,1,
01/13/2010,9:30:00,1/14/2010,9:30:00,Criminal Trespass,NULL,ONCAMRES,Z2,North Avenue Apartments South,"North Avenue, NW",NULL,NULL,1,
01/14/2010,12:20:00,NULL,NULL,Miscellaneous Offenses,NULL,PUB,Z4,"Ninth Street, NW @ Hemphill Avenue, NW",NULL,NULL,NULL,1,
01/14/2010,14:30:00,1/14/2010,15:20:00,Damage to Property – Private,NULL,PUB,Z4,"McMillan Street, NW b/w Turner Place, NW & Eighth Street, NW",NULL,NULL,NULL,1,
01/14/2010,13:30:00,1/14/2010,15:00:00,Larceny – From Building,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
01/14/2010,12:00:00,1/14/2010,13:30:00,Larceny – From Building,Cleared by Arrest,ONCAM,Z2,College of Management,"Fifth Street, NW",NULL,NULL,1,
01/06/2010,23:30:00,1/7/2010,15:00:00,Miscellaneous Offenses,NULL,ONCAM,Z2,North Avenue Apartments North Building,"North Avenue, NW",NULL,NULL,1,
01/15/2010,2:15:00,1/15/2010,2:38:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,North Avenue Apartments South Building,"North Avenue, NW",NULL,NULL,1,
01/14/2010,22:30:00,1/15/2010,2:15:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z1,Research Administration Building Parking Lot,"Tenth Street, Nw",NULL,NULL,1,
01/14/2010,19:00:00,1/15/2010,6:45:00,Criminal Trespass,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
01/14/2010,19:30:00,1/15/2010,7:30:00,Criminal Trespass,NULL,PUB,Z4,NULL,NULL,NULL,NULL,1,
01/14/2010,11:00:00,1/15/2010,11:00:00,Criminal Trespass,NULL,ONCAM,Z2,Academy of Medicine     Z2,West Peachtree,NULL,NULL,1,
01/11/2010,20:00:00,1/15/2010,14:35:00,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Eighth Street Apartments   130   Z4,"Eighth Street, NW",NULL,NULL,1,
01/15/2010,14:30:00,1/15/2010,18:00:00,Miscellaneous Offenses,NULL,ONCAM,Z3,College of Computing   50   Z3,"Atlantic Drive, NW",NULL,NULL,1,
01/15/2010,21:09:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z4,"Tenth Street, NW and Hemphill Avenue, NW",NULL,NULL,NULL,1,
01/16/2010,4:00:00,1/16/2010,4:10:00,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Fulmer Residence Hall   106   Z4,"McMillan Street, NW",NULL,NULL,1,
01/16/2010,2:39:00,1/16/2010,2:51:00,Miscellaneous Offenses,Prosecution Declined,NONCAM,Z1,NULL,"Calhoun Street, NW",NULL,NULL,1,
01/16/2010,19:11:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Glenn Residence Hall   16   Z2,"Bobby Dodd Way, NW",NULL,NULL,1,
01/16/2010,20:00:00,1/16/2010,20:30:00,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Maulding Residence Hall (Sixth St. Apts.)  65  Z4,"Sixth Street, NW",NULL,NULL,1,
01/16/2010,19:15:00,NULL,NULL,Miscellaneous Offenses,Prosecution Declined,NONCAM,Z1,NULL,"Center Street, NW",NULL,NULL,1,
01/16/2010,19:45:00,1/16/2010,20:08:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Fourth Street Apartments (Stein House)   134  Z2,"Techwood Drive, NW",NULL,NULL,1,
01/16/2010,21:02:00,NULL,NULL,Miscellaneous Offenses,Prosecution Declined,ONCAM,Z2,Georgia Tech Hotel & Conference Center   171  Z2,"Spring Street, NW",NULL,NULL,1,
01/17/2010,4:42:00,NULL,NULL,Driving Under the Influence of Alcohol,Cleared by Arrest,PUB,Z1,"Northside Drive, NW @ Fourteenth Street, NW  Z4",NULL,NULL,NULL,1,
01/17/2010,5:15:00,NULL,NULL,Liquor Law Violation Offense Free Text,Prosecution Declined,ONCAMRES,Z4,Maulding Residence Hall (Sixth St. Apts.)  65  Z4,NULL,NULL,NULL,1,
01/17/2010,19:33:00,1/17/2010,19:54:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,NULL,"Spring Street, NW",NULL,NULL,1,
01/18/2010,2:37:00,1/18/2010,6:34:00,Miscellaneous Offenses,Prosecution Declined,PUB,OFFCAM,"Third Street, NW b/w West Peachtree Street, NW and Spring Street, NW",NULL,NULL,NULL,1,
01/18/2010,3:06:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z1,"State Street, NW @ Fourteenth Street, NW",NULL,NULL,NULL,1,
01/18/2010,7:52:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z1,Beringause Building   46   Z1,"Hemphill Avenue, NW",NULL,NULL,1,
01/18/2010,12:09:00,1/18/2010,12:58:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ McAfee Street, NW",NULL,NULL,NULL,1,
01/18/2010,12:09:00,1/18/2010,12:58:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ McAfee Street, NW",NULL,NULL,NULL,1,
01/15/2010,16:00:00,1/16/2010,23:00:00,Larceny – Bicycle,NULL,ONCAM,Z2,Smith Residence Hall   6   Z2,"Williams Street, NW",NULL,NULL,1,
01/18/2010,15:20:00,1/18/2010,15:30:00,Larceny – From Building,Cleared by Arrest,ONCAM,Z3,Love Building,"Ferst Drive, NW",NULL,NULL,1,
01/18/2010,18:10:00,1/18/2010,18:34:00,Miscellaneous Offenses,Unfounded,ONCAM,Z2,Rich Building   51C,"Fourth Street, NW",NULL,NULL,1,
01/19/2010,1:50:00,1/19/2010,3:30:00,Driving Under the Influence of Alcohol,Unfounded,PUB,Z1,NULL,NULL,NULL,NULL,1,
01/19/2010,0:30:00,1/19/2010,7:00:00,Larceny – From Building,Cleared by Arrest,ONCAMRES,Z4,Hemphill Avenue Apartments   131   Z4,"Hemphill Avenue, NW",NULL,NULL,1,
01/16/2010,22:30:00,1/17/2010,7:00:00,Larceny – From Building,NULL,NONCAM,Z3,Alpha Tau Omega Fraternity   302   Z3,"Fourth Street, NW",NULL,NULL,1,
01/19/2010,18:22:00,1/19/2010,18:55:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Cherry Street, NW",NULL,NULL,NULL,1,
01/19/2010,17:00:00,1/20/2010,0:30:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Beringause Building   46   Z1,"Hemphill Avenue, NW",NULL,NULL,1,
01/20/2010,2:20:00,1/20/2010,2:25:00,Larceny Offense Free Text,NULL,PUB,Z4,NULL,NULL,NULL,NULL,1,
01/20/2010,8:00:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z3,Van Leer Electrical Engineering Building   85  Z3,"Atlantic Drive, NW",NULL,NULL,1,
01/20/2010,8:25:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,NULL,"West Peachtree Street, NW",NULL,NULL,1,
01/19/2010,19:57:00,NULL,NULL,Larceny – From Building,NULL,ONCAM,Z2,Georgia Tech Parking &  Transportation Department,"West Peachtree Street, NW",NULL,NULL,1,
01/19/2010,13:30:00,NULL,NULL,Miscellaneous Offenses,NULL,PUB,Z1,"Fowler Street, NW b/w Fifth Street, NW & Sixth Street, NW",NULL,NULL,NULL,1,
01/21/2010,8:30:00,1/21/2010,8:55:00,Miscellaneous Offenses,NULL,ONCAM,Z2,Howey Physics Building   81   Z3,"Atlantic Drive, NW",NULL,NULL,1,
01/20/2010,22:00:00,1/21/2010,12:30:00,Larceny – Articles from Vehicle,NULL,ONCAM,Z3,Boggs Building Lot (North),"State Street, NW",NULL,NULL,1,
01/22/2010,0:10:00,1/22/2010,0:25:00,Miscellaneous Offenses,Unfounded,ONCAMRES,Z2,NULL,NULL,NULL,NULL,1,
01/22/2010,2:30:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,Eighth Street @ West Peachtree Street,NULL,NULL,NULL,1,
01/21/2010,17:00:00,1/22/2010,5:20:00,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Maulding Residence Hall (Sixth St. Apts.),"Sixth Street, NW",NULL,NULL,1,
01/22/2010,8:26:00,1/22/2010,8:49:00,Larceny – Bicycle,NULL,ONCAM,Z2,Barnes and Noble Bookstore 172,"Fifth Street, NW",NULL,NULL,1,
01/22/2010,11:30:00,1/22/2010,12:04:00,Miscellaneous Offenses,Prosecution Declined,ONCAM,Z4,NULL,"Means Street, NW",NULL,NULL,1,
01/22/2010,11:25:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z3,Student Health Center   82   Z4,"Ferst Drive, NW",NULL,NULL,1,
01/22/2010,16:07:00,1/22/2010,16:36:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Student Health Center   82   Z4,"Ferst Drive, NW",NULL,NULL,1,
01/15/2010,13:00:00,1/19/2010,11:00:00,Larceny – Bicycle,NULL,ONCAM,Z4,Caldwell Residence Hall   109   Z4,"Turner Place, NW",NULL,NULL,1,
01/22/2010,17:36:00,1/22/2010,18:12:00,Miscellaneous Offenses,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2,"Spring Street, NW",NULL,NULL,1,
01/22/2010,18:11:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z4,Beringause Building   46   Z1,"Hemphill Avenue, NW",NULL,NULL,1,
01/23/2010,0:49:00,NULL,NULL,Marijuana – Possession of,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments East,"North Avenue, NW",NULL,NULL,1,
01/23/2010,1:03:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z4,Crecine Apartments,"Hemphill Avenue, NW",NULL,NULL,1,
01/23/2010,3:42:00,1/23/2010,4:00:00,Criminal Trespass,Prosecution Declined,ONCAMRES,Z1,Center Street Apartments   132  Z1,"Hemphill Avenue, NW",NULL,NULL,1,
01/23/2010,11:09:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z3,Student Center   104   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/23/2010,21:02:00,1/23/2010,21:49:00,Liquor – Possession Of,Prosecution Declined,ONCAM,Z3,Ferst Center for the Arts   124   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/23/2010,23:16:00,1/23/2010,23:16:00,Miscellaneous Offenses,Prosecution Declined,PUB,Z2,NULL, Block of Spring Street,NULL,NULL,1,
01/24/2010,0:40:00,1/24/2010,0:40:00,Miscellaneous Offenses,Cleared by Arrest,PUB,OFFCAM,NULL,NULL,NULL,NULL,1,
01/24/2010,1:35:00,1/24/2010,2:05:00,Miscellaneous Offenses,Cleared by Arrest,PUB,OFFCAM,"Spring Street, NW @ Fifth Street, NW",NULL,NULL,NULL,1,
01/24/2010,2:00:00,1/24/2010,2:00:00,Liquor Law Violation Offense Free Text,Prosecution Declined,ONCAMRES,Z2,Towers Residence Hall,"Bobby Dodd Way, NW",NULL,NULL,1,
01/24/2010,5:18:00,1/24/2010,5:20:00,Miscellaneous Offenses,Extradition Declined,ONCAM,Z3,Howey Physics Building   81   Z3,"Atlantic Drive, NW",NULL,NULL,1,
01/22/2010,22:30:00,1/24/2010,7:30:00,Larceny – From Building,NULL,ONCAM,Z3,Student Center   104   Z3,"Ferst Drive, NW",NULL,NULL,1,
01/24/2010,14:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z2,Brittain Dining Hall   12   Z2,"Techwood Drive, NW",NULL,NULL,1,
01/24/2010,18:20:00,1/24/2010,18:45:00,Miscellaneous Offenses,NULL,ONCAM,Z2,Bobby Dodd Stadium   17   Z2,"North Avenue, NW",NULL,NULL,1,
01/24/2010,22:13:00,1/24/2010,23:15:00,Miscellaneous Offenses,Cleared by Arrest,PUB,Z1,NULL,"Williams Street, NW @ Fourteenth Street, NW",NULL,NULL,1,
01/25/2010,1:31:00,1/25/2010,1:55:00,Miscellaneous Offenses,Extradition Declined,PUB,Z1,NULL,"Tenth Street, NW @ Williams Street, NW",NULL,NULL,1,
01/25/2010,12:25:00,1/25/2010,12:25:00,Damage to Property Offense Free Text,NULL,ONCAM,Z1,Facilities   32   Z1,"Fowler Street, NW",NULL,NULL,1,
01/25/2010,8:00:00,1/25/2010,15:19:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Student Health Center   82   Z4,"Ferst Drive, NW",NULL,NULL,1,
01/25/2010,16:07:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z3,"Ferst Drive, NW @ Atlantic Drive, NW",NULL,NULL,NULL,1,
01/25/2010,11:00:00,1/25/2010,16:00:00,Larceny – Bicycle,NULL,ONCAM,Z1,E S & T Building,"Ferst Drive, NW",NULL,NULL,1,
01/25/2010,15:00:00,1/25/2010,18:00:00,Larceny – Bicycle,NULL,ONCAM,Z1,ESM Building,"Cherry Street, NW",NULL,NULL,1,
01/25/2010,20:11:00,1/25/2010,20:55:00,False Fire Alarm,NULL,ONCAM,Z2,Bobby Dodd Stadium   17   Z2,"North Avenue, NW",NULL,NULL,1,
01/25/2010,23:57:00,1/26/2010,0:19:00,Driving Under the Influence of Alcohol,Cleared by Arrest,PUB,Z1,NULL,NULL,NULL,NULL,1,
01/26/2010,12:30:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAM,Z3,College of Computing   50   Z3,"Atlantic Drive, NW",NULL,NULL,1,
01/26/2010,13:15:00,1/26/2010,13:30:00,Miscellaneous Offenses,Prosecution Declined,ONCAMRES,NULL,NULL,NULL,NULL,NULL,1,
01/12/2010,12:00:00,1/26/2010,11:00:00,Larceny Offense Free Text,Unfounded,ONCAM,Z2,Georgia Tech Hotel and Conference Center Parking Deck,"Spring Street, NW",NULL,NULL,1,
01/26/2010,13:10:00,1/26/2010,13:30:00,Larceny – From Building,NULL,ONCAM,Z2,Montgomery-Knight Building,"Ferst Drive, NW",NULL,NULL,1,
01/26/2010,19:55:00,1/26/2010,20:43:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Towers Residence Hall,"Bobby Dodd Way, NW",NULL,NULL,1,
01/26/2010,21:21:00,NULL,NULL,Miscellaneous Offenses,Cleared by Arrest,PUB,Z2,"Fifth Street, NW @ West Peachtree Street, NW  Z2",NULL,NULL,NULL,1,
01/27/2010,1:00:00,1/27/2010,1:44:00,False Fire Alarm,NULL,ONCAM,Z2,North Avenue Apartments Lower Parking Deck,"North Avenue, NW",NULL,NULL,1,
01/06/2010,12:00:00,1/7/2010,7:00:00,Miscellaneous Offenses,NULL,ONCAM,Z1,Undergraduate Living Center  64   Z4,"Turner Place, NW",NULL,NULL,1,
01/24/2010,7:00:00,1/24/2010,20:00:00,Miscellaneous Offenses,NULL,ONCAMRES,Z2,Harris Residence Hall   11   Z2,"Techwood Drive, NW",NULL,NULL,1,
01/27/2010,21:34:00,1/27/2010,23:15:00,Theft by Receiving Stolen Vehicle,Cleared by Arrest,PUB,OFFCAM,"Tenth Street, NW @ West Peachtree Street, NW",NULL,NULL,NULL,1,
01/28/2010,1:06:00,1/28/2010,1:06:00,Criminal Trespass,Cleared by Arrest,NONCAM,OFFCAM,B P Gas Station,"Spring Street, NW",NULL,NULL,1,
01/27/2010,8:00:00,1/28/2010,10:20:00,Larceny – From Building,NULL,ONCAMRES,Z2,North Avenue Apartments East,"North Avenue, NW",NULL,NULL,1,
01/28/2010,10:51:00,NULL,NULL,Larceny Offense Free Text,NULL,NONCAM,Z4,NULL,"Northside Drive, NW",NULL,NULL,1,
01/27/2010,11:35:00,1/27/2010,12:25:00,Larceny – Bicycle,NULL,ONCAM,Z2,College of Management 172 Z2,"West Peachtree Street, NW",NULL,NULL,1,
01/28/2010,11:40:00,1/28/2010,13:40:00,Larceny – Bicycle,NULL,ONCAM,Z3,College of Architecture   76   Z3,"Fourth Street, NW",NULL,NULL,1,
01/20/2010,8:00:00,1/20/2010,17:00:00,Miscellaneous Offenses,Prosecution Declined,ONCAM,Z2,Technology Square Parking Deck 174  Z2,"Spring Street, NW",NULL,NULL,1,
01/29/2010,1:22:00,NULL,NULL,Miscellaneous Offenses,NULL,ONCAMRES,Z4,NULL,NULL,NULL,NULL,1,
01/29/2010,2:31:00,1/29/2010,3:01:00,Liquor – Possession Of,Prosecution Declined,PUB,Z2,"Techwood Drive, NW @ Fourth Street, NW",NULL,NULL,NULL,1,
01/29/2010,2:55:00,1/29/2010,3:35:00,Disorderly Conduct,Extradition Declined,ONCAMRES,Z2,Sigma Phi Epsilon Fraternity,"Fifth Street, NW",NULL,NULL,1,
01/29/2010,8:40:00,1/29/2010,9:10:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Campus Recreation Center,"Ferst Drive, NW",NULL,NULL,1,
01/29/2010,12:00:00,1/29/2010,14:00:00,Larceny – Bicycle,NULL,ONCAM,Z2,Skiles Classroom Building   2   Z2,"Cherry Street, NW",NULL,NULL,1,
01/29/2010,16:06:00,1/29/2010,16:20:00,Miscellaneous Offenses,NULL,ONCAM,Z4,Institute of Paper Science & Technology #1,"Tenth Street, NW",NULL,NULL,1,
01/29/2010,22:00:00,1/29/2010,23:12:00,Miscellaneous Offenses,NULL,PUB,Z4,NULL,"Turner Place, NW",NULL,NULL,1,
01/30/2010,0:10:00,1/30/2010,1:10:00,Miscellaneous Offenses,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments North,"North Avenue, NW",NULL,NULL,1,
